English,Darija (Latin),Darija (Standard Arabic),Darija (Informal)
good,mezyan,مزيان,مزيان
bad / ugly,khayb,خايب,خايب
new,jdid,جديد,جديد
old,qdim,قديم,قديم
small,sghir,صغير,صغير
big,kbir,كبير,كبير
beautiful,zwin,زوين,زوين
tall,3ali,عالي,عالي
short,qsir,قصير,قصير
clean,n9i,نقي,نقي
dirty,wskh,وسخ,وسخ
cold,barid,بارد,بارد
hot,skhun,سخون,سخون
happy,fer7an,فرحان,فرحان
sad,7zin,حزين,حزين
tired,3yan,عيان,عيان
hungry,j3an,جوعان,جوعان
thirsty,3tshan,عطشان,عطشان
rich,ghni,غني,غني
poor,fqir,فقير,فقير
strong,qwi,قوي,قوي
weak,d3if,ضعيف,ضعيف
fast,sr3,سريع,سريع
slow,bti,بطيء,بطيء
expensive,ghali,غالي,غالي
cheap,rkhis,رخيص,رخيص
easy,sahl,سهل,سهل
difficult,s3ib,صعيب,صعيب
near,qrib,قريب,قريب
far,b3id,بعيد,بعيد
open,m7lul,محلول,محلول
closed,msdud,مسدود,مسدود
full,3mr,عامر,عامر
empty,khawi,خاوي,خاوي
ready,wjjd,واجد,واجد
late,m3ttl,معتّل,معتل
early,bkri,بكري,بكري
married,mzuwj,مزوج,مزّوج
single,3zbi,عزبي,عزبي
busy,mshghul,مشغول,مشغول
free,fadi,فاضي,فاضي
important,mhm,مهم,مهم
boring,mml,ممل,ممل
interesting,mthir,مثير,مثير
famous,mshhur,مشهور,مشهور
unknown,m3rufsh,مش معروف,مش معروف
safe,amn,آمن,آمن
dangerous,khtr,خطر,خطر
healthy,s7i,صحي,صحي
sick,mrid,مريض,مريض
sleepy,n3ssan,نعسان,نعسان
awake,faq,فاق,فاق
noisy,mzdwj,مزدوِج,مزدوِج
quiet,hadi,هادي,هادي
